Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/06/2016,	Time = 15:03,	
Latitude = 54 34.81  S,	Longitude = 000 00.21  W
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 124,	Wind Speed = 16.10
Dry Bulb Temp = -0.50,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
532.27,	1.6200
532.90,	1.6100
533.53,	1.6100
534.17,	1.6100
534.80,	1.6100
535.43,	1.6100
536.06,	1.6100
536.69,	1.6100
537.33,	1.6100
537.96,	1.6100
538.59,	1.6100
539.22,	1.6100
539.85,	1.6100
540.48,	1.6100
541.12,	1.6100
541.75,	1.6100
542.38,	1.6100
543.01,	1.6100
543.64,	1.6100
544.27,	1.6100
544.91,	1.6100
545.54,	1.6100
546.17,	1.6100
546.80,	1.6100
547.43,	1.6100
548.06,	1.6100
548.69,	1.6100
549.32,	1.6100
549.95,	1.6100
550.59,	1.6100
551.22,	1.6100
551.85,	1.6000
552.48,	1.6100
553.11,	1.6100
553.74,	1.6000
554.37,	1.6100
555.00,	1.6100
555.63,	1.6100
556.26,	1.6100
556.89,	1.6100
557.52,	1.6100
558.15,	1.6100
558.78,	1.6100
559.42,	1.6100
560.05,	1.6100
560.68,	1.6100
561.31,	1.6100
561.94,	1.6100
562.57,	1.6100
563.20,	1.6100
563.83,	1.6100
564.46,	1.6100
565.09,	1.6100
565.72,	1.6100
566.35,	1.6100
566.98,	1.6100
567.61,	1.6100
568.24,	1.6100
568.87,	1.6100
569.50,	1.6100
570.12,	1.6000
570.75,	1.6000
571.38,	1.6000
572.01,	1.6000
572.64,	1.6000
573.27,	1.6000
573.90,	1.6000
574.53,	1.6000
575.16,	1.6000
575.79,	1.6000
576.42,	1.6000
577.05,	1.6000
577.68,	1.6000
578.31,	1.6000
578.93,	1.6000
579.56,	1.6000
580.19,	1.6000
580.82,	1.6000
581.45,	1.6000
582.08,	1.6000
582.71,	1.5900
583.34,	1.5900
583.97,	1.5900
584.59,	1.5900
585.22,	1.5900
585.85,	1.6000
586.48,	1.6000
587.11,	1.6000
587.74,	1.5900
588.36,	1.5900
588.99,	1.5900
589.62,	1.5900
590.25,	1.5900
590.88,	1.5800
591.50,	1.5800
592.13,	1.5800
592.76,	1.5800
593.39,	1.5900
594.02,	1.5900
594.64,	1.5900
595.27,	1.5900
595.90,	1.5900
596.53,	1.5900
597.16,	1.5900
597.78,	1.5900
598.41,	1.5900
599.04,	1.5900
599.67,	1.5900
600.29,	1.5900
600.92,	1.5900
601.55,	1.5800
602.18,	1.5800
602.80,	1.5900
603.43,	1.5900
604.06,	1.5900
604.68,	1.5900
605.31,	1.5800
605.94,	1.5800
606.57,	1.5900
607.19,	1.5900
607.82,	1.5900
608.45,	1.5900
609.07,	1.5900
609.70,	1.5800
610.33,	1.5800
610.95,	1.5800
611.58,	1.5800
612.21,	1.5800
612.83,	1.5800
613.46,	1.5800
614.09,	1.5800
614.71,	1.5800
615.34,	1.5800
615.97,	1.5800
616.59,	1.5800
617.22,	1.5800
617.84,	1.5800
618.47,	1.5700
619.10,	1.5800
619.72,	1.5800
620.35,	1.5800
620.97,	1.5800
621.60,	1.5700
622.23,	1.5700
622.85,	1.5800
623.48,	1.5700
624.10,	1.5700
624.73,	1.5700
625.35,	1.5700
625.98,	1.5700
626.61,	1.5700
627.23,	1.5700
627.86,	1.5700
628.48,	1.5700
629.11,	1.5700
629.73,	1.5700
630.36,	1.5700
630.98,	1.5700
631.61,	1.5700
632.23,	1.5700
632.86,	1.5700
633.48,	1.5700
634.11,	1.5700
634.73,	1.5600
635.36,	1.5600
635.98,	1.5600
636.61,	1.5600
637.23,	1.5600
637.86,	1.5600
638.48,	1.5600
639.11,	1.5600
639.73,	1.5600
640.36,	1.5600
640.98,	1.5600
641.61,	1.5600
642.23,	1.5600
642.85,	1.5600
643.48,	1.5500
644.10,	1.5500
644.73,	1.5600
645.35,	1.5500
645.98,	1.5500
646.60,	1.5500
647.22,	1.5500
647.85,	1.5400
648.47,	1.5400
649.10,	1.5400
649.72,	1.5400
650.34,	1.5400
650.97,	1.5400
651.59,	1.5400
652.22,	1.5400
652.84,	1.5400
653.46,	1.5400
654.09,	1.5400
654.71,	1.5400
655.33,	1.5400
655.96,	1.5400
656.58,	1.5400
657.20,	1.5400
657.83,	1.5400
658.45,	1.5400
659.07,	1.5400
659.70,	1.5400
660.32,	1.5400
660.94,	1.5300
661.57,	1.5400
662.19,	1.5400
662.81,	1.5400
663.43,	1.5400
664.06,	1.5400
664.68,	1.5400
665.30,	1.5400
665.93,	1.5400
666.55,	1.5400
667.17,	1.5300
667.79,	1.5400
668.42,	1.5400
669.04,	1.5300
669.66,	1.5300
670.28,	1.5300
670.91,	1.5300
671.53,	1.5300
672.15,	1.5300
672.77,	1.5300
673.39,	1.5300
674.02,	1.5300
674.64,	1.5300
675.26,	1.5300
675.88,	1.5300
676.50,	1.5300
677.13,	1.5200
677.75,	1.5200
678.37,	1.5200
678.99,	1.5200
679.61,	1.5200
680.24,	1.5200
680.86,	1.5200
681.48,	1.5200
682.10,	1.5200
682.72,	1.5200
683.34,	1.5200
683.96,	1.5200
684.59,	1.5200
685.21,	1.5200
685.83,	1.5100
686.45,	1.5200
687.07,	1.5200
687.69,	1.5100
688.31,	1.5100
688.93,	1.5100
689.56,	1.5100
690.18,	1.5200
690.80,	1.5100
691.42,	1.5100
692.04,	1.5100
692.66,	1.5100
693.28,	1.5100
693.90,	1.5100
694.52,	1.5100
695.14,	1.5100
695.76,	1.5100
696.38,	1.5100
697.00,	1.5100
697.62,	1.5100
698.25,	1.5100
698.87,	1.5100
699.49,	1.5100
700.11,	1.5000
700.73,	1.5000
701.35,	1.5000
701.97,	1.5000
702.59,	1.5000
703.21,	1.5000
703.83,	1.5000
704.45,	1.5000
705.07,	1.5000
705.69,	1.5000
706.31,	1.5000
706.93,	1.5000
707.55,	1.5000
708.17,	1.5000
708.79,	1.4900
709.40,	1.4900
710.02,	1.5000
710.64,	1.4900
711.26,	1.5000
711.88,	1.5000
712.50,	1.5000
713.12,	1.4900
713.74,	1.4900
714.36,	1.5000
714.98,	1.4900
715.60,	1.5000
716.22,	1.4900
716.84,	1.4900
717.45,	1.4900
718.07,	1.4900
718.69,	1.4900
719.31,	1.4900
719.93,	1.4900
720.55,	1.4900
721.17,	1.4900
721.79,	1.4900
722.41,	1.4900
723.02,	1.4900
723.64,	1.4900
724.26,	1.4900
724.88,	1.4900
725.50,	1.4900
726.12,	1.4900
726.73,	1.4900
727.35,	1.4900
727.97,	1.4900
728.59,	1.4900
729.21,	1.4900
729.83,	1.4900
730.44,	1.4900
731.06,	1.4900
731.68,	1.4900
732.30,	1.4900
732.92,	1.4900
733.53,	1.4900
734.15,	1.4900
734.77,	1.4900
735.39,	1.4900
736.00,	1.4800
736.62,	1.4800
737.24,	1.4900
737.86,	1.4900
738.47,	1.4800
739.09,	1.4900
739.71,	1.4800
740.33,	1.4800
740.94,	1.4800
