Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/04/2016,	Time = 09:58,	
Latitude = 45 29.03  S,	Longitude = 060 06.79  E
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 301,	Wind Speed = 40.20
Dry Bulb Temp = 8.30,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
786.50,	2.8700
787.11,	2.8700
787.73,	2.8700
788.34,	2.8700
788.95,	2.8700
789.57,	2.8700
790.18,	2.8700
790.79,	2.8700
791.41,	2.8700
792.02,	2.8700
792.63,	2.8700
793.25,	2.8700
793.86,	2.8700
794.47,	2.8700
795.09,	2.8700
795.70,	2.8700
796.31,	2.8700
796.93,	2.8700
797.54,	2.8700
798.15,	2.8700
798.77,	2.8700
799.38,	2.8700
799.99,	2.8700
800.61,	2.8700
801.22,	2.8700
801.83,	2.8700
802.44,	2.8700
803.06,	2.8700
803.67,	2.8700
804.28,	2.8700
804.90,	2.8700
805.51,	2.8700
806.12,	2.8700
806.73,	2.8700
807.34,	2.8700
807.96,	2.8700
808.57,	2.8700
809.18,	2.8700
809.79,	2.8700
810.41,	2.8700
811.02,	2.8700
811.63,	2.8700
812.24,	2.8700
812.85,	2.8700
813.47,	2.8700
814.08,	2.8700
814.69,	2.8700
815.30,	2.8700
815.91,	2.8700
816.53,	2.8700
817.14,	2.8600
817.75,	2.8600
818.36,	2.8600
818.97,	2.8600
819.58,	2.8600
820.20,	2.8600
820.81,	2.8600
821.42,	2.8600
822.03,	2.8600
822.64,	2.8600
823.25,	2.8600
823.86,	2.8700
824.47,	2.8600
825.09,	2.8600
825.70,	2.8600
826.31,	2.8600
826.92,	2.8600
827.53,	2.8600
828.14,	2.8600
828.75,	2.8600
829.36,	2.8600
829.97,	2.8600
830.58,	2.8600
831.19,	2.8600
831.80,	2.8600
